Generation; Variation; Genome; Species; Parent; Score; Fitness; Power; Angle
11; 0.008333334; 3660; 2024; -1; -7.180404; -15.3138; 81.33397; 0.2674044
11; 0.008333334; 3661; 2025; -1; -12.25171; -100065.4; 531.7941; 1.963219
12; 0.007692308; 3383; 976; 2886; 127.741; 109.6825; 180.5844; 0.1478189
12; 0.007692308; 3662; 976; 3383; 126.3668; 108.8733; 174.935; 0.4816708
12; 0.007692308; 2886; 976; 2784; 122.9773; 104.1692; 188.0813; 0.5732605
12; 0.007692308; 3663; 976; 2886; 91.05765; 71.99254; 190.6511; 0.3157283
12; 0.007692308; 3664; 2026; -1; 0.4806802; 0.2064212; 2.742591; 0.2642117
12; 0.007692308; 3651; 1903; 3618; 63.15764; 57.01982; 61.37819; 0.0774074
12; 0.007692308; 3665; 1903; 3651; 42.75912; 36.17882; 65.80299; 0.002886964
12; 0.007692308; 3618; 1903; 3562; 49.65356; 43.61446; 60.39091; 0.09934387
12; 0.007692308; 3666; 1903; 3618; 67.35247; 61.08263; 62.69835; 0.04155029
12; 0.007692308; 3667; 2027; -1; 0.6256934; -125.1137; 1257.393; 0.2387316
